?pathwayNumber   ?pathwayStep
Pathway1         Pathway Step39
Pathway1         Pathway Step46
Pathway1         Pathway Step85
Pathway2         Pathway Step3
Pathway2         Pathway Step38
Pathway2         Pathway Step4
Pathway2         Pathway Step8
Pathway2         Pathway Step6
Pathway2         Pathway Step9
Pathway2         Pathway Step1
Pathway2         Pathway Step2
Pathway2         Pathway Step5
Pathway2         Pathway Step7
Pathway3         Pathway Step35
Pathway3         Pathway Step32
Pathway3         Pathway Step33
Pathway3         Pathway Step30
Pathway3         Pathway Step37
Pathway3         Pathway Step34
Pathway3         Pathway Step31
Pathway3         Pathway Step36
Pathway3         Pathway Step14
Pathway3         Pathway Step12
Pathway3         Pathway Step17
Pathway3         Pathway Step19
Pathway3         Pathway Step10
Pathway3         Pathway Step13
Pathway3         Pathway Step16
Pathway3         Pathway Step11
Pathway3         Pathway Step18
Pathway3         Pathway Step15
Pathway3         Pathway Step25
Pathway3         Pathway Step22
Pathway3         Pathway Step24
Pathway3         Pathway Step21
Pathway3         Pathway Step20
Pathway3         Pathway Step29
Pathway3         Pathway Step27
Pathway3         Pathway Step23
Pathway3         Pathway Step26
Pathway3         Pathway Step28
Pathway4         Pathway Step40
Pathway4         Pathway Step45
Pathway4         Pathway Step41
Pathway4         Pathway Step44
Pathway4         Pathway Step43
Pathway4         Pathway Step42
Pathway5         Pathway Step84
Pathway5         Pathway Step62
Pathway6         Pathway Step49
Pathway6         Pathway Step48
Pathway6         Pathway Step47
Pathway6         Pathway Step61
Pathway6         Pathway Step60
Pathway6         Pathway Step9
Pathway6         Pathway Step59
Pathway6         Pathway Step53
Pathway6         Pathway Step54
Pathway6         Pathway Step52
Pathway6         Pathway Step50
Pathway6         Pathway Step51
Pathway6         Pathway Step56
Pathway6         Pathway Step57
Pathway6         Pathway Step58
Pathway6         Pathway Step55
Pathway7         Pathway Step83
Pathway7         Pathway Step80
Pathway7         Pathway Step81
Pathway7         Pathway Step82
Pathway7         Pathway Step66
Pathway7         Pathway Step63
Pathway7         Pathway Step65
Pathway7         Pathway Step69
Pathway7         Pathway Step67
Pathway7         Pathway Step68
Pathway7         Pathway Step64
Pathway7         Pathway Step71
Pathway7         Pathway Step77
Pathway7         Pathway Step73
Pathway7         Pathway Step72
Pathway7         Pathway Step78
Pathway7         Pathway Step75
Pathway7         Pathway Step76
Pathway7         Pathway Step79
Pathway7         Pathway Step70
Pathway7         Pathway Step74

