?pathwayStep     ?nextPathwayStep
Pathway Step1    Pathway Step2
Pathway Step10   Pathway Step14
Pathway Step11   Pathway Step13
Pathway Step14   Pathway Step15
Pathway Step16   Pathway Step17
Pathway Step17   Pathway Step23
Pathway Step18   Pathway Step19
Pathway Step19   Pathway Step20
Pathway Step2    Pathway Step3
Pathway Step20   Pathway Step23
Pathway Step21   Pathway Step22
Pathway Step22   Pathway Step23
Pathway Step23   Pathway Step24
Pathway Step24   Pathway Step25
Pathway Step24   Pathway Step26
Pathway Step26   Pathway Step27
Pathway Step28   Pathway Step29
Pathway Step29   Pathway Step30
Pathway Step3    Pathway Step4
Pathway Step3    Pathway Step41
Pathway Step31   Pathway Step32
Pathway Step32   Pathway Step33
Pathway Step36   Pathway Step37
Pathway Step39   Pathway Step85
Pathway Step4    Pathway Step12
Pathway Step4    Pathway Step5
Pathway Step40   Pathway Step41
Pathway Step41   Pathway Step42
Pathway Step42   Pathway Step43
Pathway Step43   Pathway Step44
Pathway Step44   Pathway Step45
Pathway Step47   Pathway Step48
Pathway Step47   Pathway Step83
Pathway Step47   Pathway Step80
Pathway Step47   Pathway Step63
Pathway Step47   Pathway Step61
Pathway Step47   Pathway Step67
Pathway Step47   Pathway Step60
Pathway Step47   Pathway Step56
Pathway Step47   Pathway Step58
Pathway Step47   Pathway Step77
Pathway Step47   Pathway Step78
Pathway Step48   Pathway Step72
Pathway Step48   Pathway Step75
Pathway Step49   Pathway Step50
Pathway Step5    Pathway Step6
Pathway Step5    Pathway Step11
Pathway Step50   Pathway Step52
Pathway Step50   Pathway Step51
Pathway Step51   Pathway Step10
Pathway Step51   Pathway Step16
Pathway Step51   Pathway Step18
Pathway Step51   Pathway Step21
Pathway Step51   Pathway Step53
Pathway Step53   Pathway Step54
Pathway Step54   Pathway Step55
Pathway Step56   Pathway Step57
Pathway Step58   Pathway Step59
Pathway Step6    Pathway Step7
Pathway Step63   Pathway Step64
Pathway Step64   Pathway Step65
Pathway Step65   Pathway Step66
Pathway Step67   Pathway Step68
Pathway Step68   Pathway Step69
Pathway Step69   Pathway Step70
Pathway Step7    Pathway Step8
Pathway Step70   Pathway Step71
Pathway Step72   Pathway Step73
Pathway Step73   Pathway Step74
Pathway Step75   Pathway Step76
Pathway Step78   Pathway Step79
Pathway Step8    Pathway Step34
Pathway Step8    Pathway Step36
Pathway Step8    Pathway Step9
Pathway Step80   Pathway Step81
Pathway Step81   Pathway Step82
Pathway Step9    Pathway Step49
Pathway Step9    Pathway Step47

