?pathwayStep     ?reactionANDcontrol
Pathway Step1    Catalysis1
Pathway Step1    Biochemical Reaction1
Pathway Step10   Biochemical Reaction10
Pathway Step11   Biochemical Reaction11
Pathway Step12   Biochemical Reaction12
Pathway Step13   Biochemical Reaction13
Pathway Step14   Biochemical Reaction14
Pathway Step15   Catalysis7
Pathway Step15   Biochemical Reaction15
Pathway Step16   Biochemical Reaction16
Pathway Step17   Biochemical Reaction17
Pathway Step18   Biochemical Reaction18
Pathway Step19   Biochemical Reaction19
Pathway Step2    Biochemical Reaction2
Pathway Step20   Catalysis8
Pathway Step20   Biochemical Reaction20
Pathway Step21   Biochemical Reaction21
Pathway Step22   Biochemical Reaction22
Pathway Step23   Biochemical Reaction23
Pathway Step24   Catalysis9
Pathway Step24   Biochemical Reaction24
Pathway Step25   Degradation1
Pathway Step26   Biochemical Reaction25
Pathway Step27   Catalysis10
Pathway Step27   Biochemical Reaction26
Pathway Step28   Biochemical Reaction27
Pathway Step29   Catalysis11
Pathway Step29   Biochemical Reaction28
Pathway Step3    Catalysis2
Pathway Step3    Biochemical Reaction3
Pathway Step30   Degradation2
Pathway Step31   Biochemical Reaction29
Pathway Step32   Catalysis12
Pathway Step32   Biochemical Reaction30
Pathway Step33   Degradation3
Pathway Step34   Biochemical Reaction31
Pathway Step35   Biochemical Reaction32
Pathway Step36   Biochemical Reaction33
Pathway Step37   Catalysis13
Pathway Step37   Biochemical Reaction34
Pathway Step38   Pathway3
Pathway Step39   Pathway2
Pathway Step4    Biochemical Reaction4
Pathway Step4    Catalysis3
Pathway Step40   Biochemical Reaction35
Pathway Step41   Biochemical Reaction36
Pathway Step42   Biochemical Reaction37
Pathway Step43   Biochemical Reaction38
Pathway Step44   Biochemical Reaction39
Pathway Step45   Biochemical Reaction40
Pathway Step46   Pathway4
Pathway Step47   Biochemical Reaction41
Pathway Step48   Biochemical Reaction42
Pathway Step48   Catalysis14
Pathway Step49   Biochemical Reaction43
Pathway Step5    Biochemical Reaction5
Pathway Step5    Catalysis4
Pathway Step50   Biochemical Reaction44
Pathway Step51   Biochemical Reaction45
Pathway Step51   Control1
Pathway Step52   Biochemical Reaction46
Pathway Step52   Control2
Pathway Step52   Control3
Pathway Step53   Biochemical Reaction47
Pathway Step54   Biochemical Reaction48
Pathway Step54   Catalysis15
Pathway Step55   Degradation4
Pathway Step56   Biochemical Reaction49
Pathway Step57   Control4
Pathway Step57   Biochemical Reaction50
Pathway Step58   Biochemical Reaction51
Pathway Step59   Biochemical Reaction52
Pathway Step59   Control5
Pathway Step6    Biochemical Reaction6
Pathway Step6    Catalysis5
Pathway Step60   Biochemical Reaction53
Pathway Step61   Control6
Pathway Step61   Biochemical Reaction54
Pathway Step62   Pathway6
Pathway Step63   Biochemical Reaction55
Pathway Step64   Biochemical Reaction56
Pathway Step65   Catalysis16
Pathway Step65   Biochemical Reaction57
Pathway Step66   Degradation5
Pathway Step67   Biochemical Reaction58
Pathway Step68   Catalysis17
Pathway Step68   Biochemical Reaction59
Pathway Step69   Biochemical Reaction60
Pathway Step7    Catalysis6
Pathway Step7    Biochemical Reaction7
Pathway Step70   Biochemical Reaction61
Pathway Step71   Biochemical Reaction62
Pathway Step71   Catalysis18
Pathway Step72   Biochemical Reaction63
Pathway Step73   Biochemical Reaction64
Pathway Step74   Degradation6
Pathway Step75   Biochemical Reaction65
Pathway Step76   Biochemical Reaction66
Pathway Step76   Catalysis19
Pathway Step77   Biochemical Reaction67
Pathway Step78   Biochemical Reaction68
Pathway Step79   Biochemical Reaction69
Pathway Step79   Catalysis20
Pathway Step8    Biochemical Reaction8
Pathway Step80   Biochemical Reaction70
Pathway Step81   Catalysis21
Pathway Step81   Biochemical Reaction71
Pathway Step82   Biochemical Reaction72
Pathway Step83   Degradation7
Pathway Step83   Catalysis22
Pathway Step84   Pathway7
Pathway Step85   Pathway5
Pathway Step9    Biochemical Reaction9

