?complex    ?complexName                                                           ?complexLocation          ?reactomeID               ?protein
Complex1    Pre-TGFB1 complex                                                      Golgi lumen               Reactome DB_ID: 171260    Protein1
Complex10   p-TGFBR1                                                               plasma membrane           Reactome DB_ID: 170863    Protein9
Complex11   TGFB1:p-TGFBR:SARA:SMAD2/3                                             early endosome membrane   Reactome DB_ID: 171266    Complex10
Complex11   TGFB1:p-TGFBR:SARA:SMAD2/3                                             early endosome membrane   Reactome DB_ID: 171266    Physical Entity1
Complex11   TGFB1:p-TGFBR:SARA:SMAD2/3                                             early endosome membrane   Reactome DB_ID: 171266    Complex4
Complex11   TGFB1:p-TGFBR:SARA:SMAD2/3                                             early endosome membrane   Reactome DB_ID: 171266    Complex3
Complex11   TGFB1:p-TGFBR:SARA:SMAD2/3                                             early endosome membrane   Reactome DB_ID: 171266    Protein10
Complex12   TGFB1:p-TGFBR:SARA:p-2S-SMAD2/3                                        early endosome membrane   Reactome DB_ID: 171180    Complex10
Complex12   TGFB1:p-TGFBR:SARA:p-2S-SMAD2/3                                        early endosome membrane   Reactome DB_ID: 171180    Complex4
Complex12   TGFB1:p-TGFBR:SARA:p-2S-SMAD2/3                                        early endosome membrane   Reactome DB_ID: 171180    Complex3
Complex12   TGFB1:p-TGFBR:SARA:p-2S-SMAD2/3                                        early endosome membrane   Reactome DB_ID: 171180    Protein18
Complex12   TGFB1:p-TGFBR:SARA:p-2S-SMAD2/3                                        early endosome membrane   Reactome DB_ID: 171180    Protein10
Complex13   TGFB1:p-TGFBR:SARA                                                     early endosome membrane   Reactome DB_ID: 171173    Complex10
Complex13   TGFB1:p-TGFBR:SARA                                                     early endosome membrane   Reactome DB_ID: 171173    Complex4
Complex13   TGFB1:p-TGFBR:SARA                                                     early endosome membrane   Reactome DB_ID: 171173    Complex3
Complex13   TGFB1:p-TGFBR:SARA                                                     early endosome membrane   Reactome DB_ID: 171173    Protein10
Complex14   p-2S-SMAD2/3:SMAD4                                                     cytosol                   Reactome DB_ID: 171175    Protein22
Complex14   p-2S-SMAD2/3:SMAD4                                                     cytosol                   Reactome DB_ID: 171175    Protein18
Complex15   TGFB1:p-TGFBR:I-SMAD7                                                  plasma membrane           Reactome DB_ID: 173476    Complex10
Complex15   TGFB1:p-TGFBR:I-SMAD7                                                  plasma membrane           Reactome DB_ID: 173476    Complex4
Complex15   TGFB1:p-TGFBR:I-SMAD7                                                  plasma membrane           Reactome DB_ID: 173476    Complex3
Complex15   TGFB1:p-TGFBR:I-SMAD7                                                  plasma membrane           Reactome DB_ID: 173476    Protein23
Complex16   TGFB1:p-TGFBR:STRAP                                                    plasma membrane           Reactome DB_ID: 2127564   Complex9
Complex16   TGFB1:p-TGFBR:STRAP                                                    plasma membrane           Reactome DB_ID: 2127564   Protein24
Complex17   TGFBR:STRAP                                                            plasma membrane           Reactome DB_ID: 2127608   Complex8
Complex17   TGFBR:STRAP                                                            plasma membrane           Reactome DB_ID: 2127608   Protein24
Complex18   TGFB1:p-TGFBR:STRAP:SMAD7                                              plasma membrane           Reactome DB_ID: 2128993   Complex16
Complex18   TGFB1:p-TGFBR:STRAP:SMAD7                                              plasma membrane           Reactome DB_ID: 2128993   Protein23
Complex19   GADD34:PP1                                                             cytosol                   Reactome DB_ID: 2162158   Protein29
Complex19   GADD34:PP1                                                             cytosol                   Reactome DB_ID: 2162158   Protein25
Complex2    Large latent complex of TGFB1                                          Golgi lumen               Reactome DB_ID: 177102    Protein3
Complex20   TGFB1:p-TGFBR:I-SMAD7:GADD34:PP1:SARA                                  early endosome membrane   Reactome DB_ID: 2167884   Complex19
Complex20   TGFB1:p-TGFBR:I-SMAD7:GADD34:PP1:SARA                                  early endosome membrane   Reactome DB_ID: 2167884   Complex15
Complex20   TGFB1:p-TGFBR:I-SMAD7:GADD34:PP1:SARA                                  early endosome membrane   Reactome DB_ID: 2167884   Protein10
Complex21   TGFB1:TGFBR2:TGFBR1                                                    early endosome membrane   Reactome DB_ID: 2167873   Complex7
Complex21   TGFB1:TGFBR2:TGFBR1                                                    early endosome membrane   Reactome DB_ID: 2167873   Complex4
Complex21   TGFB1:TGFBR2:TGFBR1                                                    early endosome membrane   Reactome DB_ID: 2167873   Complex3
Complex22   SMAD7:SMURF2                                                           nucleoplasm               Reactome DB_ID: 2167870   Protein31
Complex22   SMAD7:SMURF2                                                           nucleoplasm               Reactome DB_ID: 2167870   Protein30
Complex23   SMAD7:SMURF2                                                           cytosol                   Reactome DB_ID: 2167883   Protein32
Complex23   SMAD7:SMURF2                                                           cytosol                   Reactome DB_ID: 2167883   Protein23
Complex24   SMAD7:SMURF1                                                           nucleoplasm               Reactome DB_ID: 2167913   Protein31
Complex24   SMAD7:SMURF1                                                           nucleoplasm               Reactome DB_ID: 2167913   Protein33
Complex25   SMAD7:SMURF1:XPO1                                                      nucleoplasm               Reactome DB_ID: 2167923   Complex24
Complex25   SMAD7:SMURF1:XPO1                                                      nucleoplasm               Reactome DB_ID: 2167923   Protein36
Complex26   SMAD7:SMURF1                                                           cytosol                   Reactome DB_ID: 2167927   Protein37
Complex26   SMAD7:SMURF1                                                           cytosol                   Reactome DB_ID: 2167927   Protein23
Complex27   SMAD7:NEDD4L                                                           nucleoplasm               Reactome DB_ID: 2176418   Protein41
Complex27   SMAD7:NEDD4L                                                           nucleoplasm               Reactome DB_ID: 2176418   Protein31
Complex28   SMAD7:NEDD4L                                                           cytosol                   Reactome DB_ID: 2176419   Protein42
Complex28   SMAD7:NEDD4L                                                           cytosol                   Reactome DB_ID: 2176419   Protein23
Complex29   SMAD7:SMURF/NEDD4L                                                     cytosol                   Reactome DB_ID: 2169026   Physical Entity2
Complex29   SMAD7:SMURF/NEDD4L                                                     cytosol                   Reactome DB_ID: 2169026   Protein23
Complex3    Dimeric TGFB1                                                          extracellular region      Reactome DB_ID: 170852    Protein5
Complex30   TGFB1:TGFBR2:p-TGFBR1:SMAD7:SMURF/NEDD4L                               plasma membrane           Reactome DB_ID: 2169025   Complex29
Complex30   TGFB1:TGFBR2:p-TGFBR1:SMAD7:SMURF/NEDD4L                               plasma membrane           Reactome DB_ID: 2169025   Complex9
Complex31   TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7                                      plasma membrane           Reactome DB_ID: 2169047   Protein43
Complex31   TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7                                      plasma membrane           Reactome DB_ID: 2169047   Complex15
Complex32   TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7:UCHL5/USP15                          plasma membrane           Reactome DB_ID: 2179287   Protein58
Complex32   TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7:UCHL5/USP15                          plasma membrane           Reactome DB_ID: 2179287   Complex31
Complex33   TGFB1:TGFBR2:p-TGFBR1:Ub-SMAD7                                         plasma membrane           Reactome DB_ID: 2179328   Protein43
Complex33   TGFB1:TGFBR2:p-TGFBR1:Ub-SMAD7                                         plasma membrane           Reactome DB_ID: 2179328   Complex15
Complex34   SMAD2:SMURF2                                                           cytosol                   Reactome DB_ID: 2176457   Protein32
Complex34   SMAD2:SMURF2                                                           cytosol                   Reactome DB_ID: 2176457   Protein15
Complex35   Ub-SMAD2                                                               cytosol                   Reactome DB_ID: 2176443   Protein43
Complex35   Ub-SMAD2                                                               cytosol                   Reactome DB_ID: 2176443   Protein15
Complex36   SMAD3:STUB1                                                            cytosol                   Reactome DB_ID: 2187365   Protein61
Complex36   SMAD3:STUB1                                                            cytosol                   Reactome DB_ID: 2187365   Protein14
Complex37   Ub-SMAD3                                                               cytosol                   Reactome DB_ID: 2187371   Protein43
