?protein     ?proteinName                  ?uniprotID                ?reactomeID               ?proteinLocation
Protein100   ubiquitin (UBB 3)             UniProt:P0CG47 UBB        Reactome DB_ID: 939854    nucleoplasm
Protein101   ubiquitin (UBC 1)             UniProt:P0CG48 UBC        Reactome DB_ID: 939871    nucleoplasm
Protein102   ubiquitin (UBC 2)             UniProt:P0CG48 UBC        Reactome DB_ID: 939869    nucleoplasm
Protein103   ubiquitin (UBC 3)             UniProt:P0CG48 UBC        Reactome DB_ID: 939853    nucleoplasm
Protein104   ubiquitin (UBC 4)             UniProt:P0CG48 UBC        Reactome DB_ID: 939857    nucleoplasm
Protein105   ubiquitin (UBC 5)             UniProt:P0CG48 UBC        Reactome DB_ID: 939863    nucleoplasm
Protein106   ubiquitin (UBC 6)             UniProt:P0CG48 UBC        Reactome DB_ID: 939856    nucleoplasm
Protein107   ubiquitin (UBC 7)             UniProt:P0CG48 UBC        Reactome DB_ID: 939862    nucleoplasm
Protein108   ubiquitin (UBC 8)             UniProt:P0CG48 UBC        Reactome DB_ID: 939866    nucleoplasm
Protein109   ubiquitin (UBC 9)             UniProt:P0CG48 UBC        Reactome DB_ID: 939868    nucleoplasm
Protein11    SARA                          UniProt:O95405-1 ZFYVE9   Reactome DB_ID: 206180    early endosome membrane
Protein111   DP-1                          UniProt:Q14186 TFDP1      Reactome DB_ID: 68652     nucleoplasm
Protein112   DP2                           UniProt:Q14188 TFDP2      Reactome DB_ID: 1362225   nucleoplasm
Protein114   E2F4                          UniProt:Q16254 E2F4       Reactome DB_ID: 68664     nucleoplasm
Protein115   E2F5                          UniProt:Q15329 E2F5       Reactome DB_ID: 68669     nucleoplasm
Protein116   RBL1                          UniProt:P28749 RBL1       Reactome DB_ID: 389104    nucleoplasm
Protein117   MYC                           UniProt:P01106 MYC        Reactome DB_ID: 188379    nucleoplasm
Protein118   SP1                           UniProt:P08047 SP1        Reactome DB_ID: 1592223   nucleoplasm
Protein119   MTS2                          UniProt:P42772 CDKN2B     Reactome DB_ID: 182586    cytosol
Protein12    SARA-2                        UniProt:O95405-2 ZFYVE9   Reactome DB_ID: 435471    early endosome membrane
Protein120   MEN1                          UniProt:O00255 MEN1       Reactome DB_ID: 2186626   nucleoplasm
Protein121   JUNB                          UniProt:P17275 JUNB       Reactome DB_ID: 2186795   nucleoplasm
Protein123   SKI                           UniProt:P12755 SKI        Reactome DB_ID: 173473    nucleoplasm
Protein124   SNO                           UniProt:P12757 SKIL       Reactome DB_ID: 2186596   nucleoplasm
Protein126   NCOR1-1                       UniProt:O75376-1 NCOR1    Reactome DB_ID: 349688    nucleoplasm
Protein127   NCOR1                         UniProt:O75376-2 NCOR1    Reactome DB_ID: 349706    nucleoplasm
Protein129   NCOR2-1                       UniProt:Q9Y618-1 NCOR2    Reactome DB_ID: 349710    nucleoplasm
Protein13    SARA-3                        UniProt:O95405-3 ZFYVE9   Reactome DB_ID: 435470    early endosome membrane
Protein130   NCOR2-2                       UniProt:Q9Y618-2 NCOR2    Reactome DB_ID: 349711    nucleoplasm
Protein132   TRIM33                        UniProt:Q9UPN9 TRIM33     Reactome DB_ID: 870522    nucleoplasm
Protein133   FAM                           UniProt:Q93008 USP9X      Reactome DB_ID: 870499    cytosol
Protein134   PARP1                         UniProt:P09874 PARP1      Reactome DB_ID: 201568    nucleoplasm
Protein136   PAR,p-2S-SMAD3                UniProt:P84022 SMAD3      Reactome DB_ID: 2187326   nucleoplasm
Protein137   PAR-SMAD4                     UniProt:Q13485 SMAD4      Reactome DB_ID: 2187323   nucleoplasm
Protein138   PPM1A                         UniProt:P35813 PPM1A      Reactome DB_ID: 205813    nucleoplasm
Protein139   SMAD3                         UniProt:P84022 SMAD3      Reactome DB_ID: 206150    nucleoplasm
Protein14    SMAD3                         UniProt:P84022 SMAD3      Reactome DB_ID: 170855    cytosol
Protein141   SMAD2 isoform 2               UniProt:Q15796-2 SMAD2    Reactome DB_ID: 2187390   nucleoplasm
Protein142   SMAD2 isoform 1               UniProt:Q15796-1 SMAD2    Reactome DB_ID: 206022    nucleoplasm
Protein144   UbcH5/Ubc4                    UniProt:P51668 UBE2D1     Reactome DB_ID: 174197    nucleoplasm
Protein145   UBCH5c                        UniProt:P61077 UBE2D3     Reactome DB_ID: 205341    nucleoplasm
Protein16    SMAD2 isoform 1               UniProt:Q15796-1 SMAD2    Reactome DB_ID: 170857    cytosol
Protein17    SMAD2 isoform 2               UniProt:Q15796-2 SMAD2    Reactome DB_ID: 170858    cytosol
Protein19    Phospho-SMAD 2-1              UniProt:Q15796-1 SMAD2    Reactome DB_ID: 171169    cytosol
Protein2     TGF-beta 1                    UniProt:P01137 TGFB1      Reactome DB_ID: 114705    Golgi lumen
Protein20    Phospho-SMAD 2-2              UniProt:Q15796-2 SMAD2    Reactome DB_ID: 171176    cytosol
Protein21    Phospho-SMAD 3                UniProt:P84022 SMAD3      Reactome DB_ID: 171184    cytosol
