Pathway stable ID	Pathway DB_ID	Pathway name
REACT_1698	15869	Metabolism of nucleotides
REACT_567	68616	Assembly of the ORC complex at the origin of replication
REACT_1707	68689	CDC6 association with the ORC:origin complex
REACT_1949	68827	CDT1 association with the CDC6:ORC:origin complex
REACT_2243	68867	Assembly of the pre-replicative complex
REACT_1725	68874	M/G1 Transition
REACT_765	68875	Mitotic Prophase
REACT_682	68877	Mitotic Prometaphase
REACT_434	68879	Mitotic Metaphase
REACT_1016	68881	Mitotic Metaphase/Anaphase Transition
REACT_1275	68882	Mitotic Anaphase
REACT_1932	68884	Mitotic Telophase/Cytokinesis
REACT_910	68886	M Phase
REACT_1915	68911	G2 Phase
REACT_1156	68949	Orc1 removal from chromatin
REACT_2244	68952	DNA replication initiation
REACT_1095	68962	Activation of the pre-replicative complex
REACT_734	69002	DNA Replication Pre-Initiation
REACT_1221	69017	CDK-mediated phosphorylation and removal of Cdc6
REACT_2148	69052	Switching of origins to a post-replicative state
REACT_1792	69091	Polymerase switching
REACT_1838	69109	Leading Strand Synthesis
REACT_70	69166	Removal of the Flap Intermediate
REACT_1385	69183	Processive synthesis on the lagging strand
REACT_312	69186	Lagging Strand Synthesis
REACT_932	69190	DNA strand elongation
REACT_308	69200	Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes
REACT_926	69201	Ubiquitin-Dependent Degradation of Cyclin E
REACT_1574	69202	Cyclin E associated events during G1/S transition 
REACT_683	69205	G1/S-Specific Transcription
REACT_1783	69206	G1/S Transition
REACT_4	69229	Ubiquitin-dependent degradation of Cyclin D1
REACT_821	69231	Cyclin D associated events in G1
REACT_1590	69236	G1 Phase
REACT_2014	69239	Synthesis of DNA
REACT_899	69242	S Phase
REACT_1857	69273	Cyclin A/B1 associated events during G2/M transition
REACT_2203	69275	G2/M Transition
REACT_152	69278	Cell Cycle, Mitotic
REACT_1181	69298	Association of licensing factors with the pre-replicative complex
REACT_207	69300	Removal of licensing factors from origins
REACT_829	69304	Regulation of DNA replication
REACT_383	69306	DNA Replication
REACT_832	69416	Dimerization of procaspase-8
REACT_897	69473	G2/M DNA damage checkpoint
REACT_1846	69478	G2/M DNA replication checkpoint
REACT_828	69481	G2/M Checkpoints
REACT_309	69541	Stabilization of p53
REACT_202	69560	Transcriptional activation of p53 responsive genes  
REACT_1625	69563	p53-Dependent G1 DNA Damage Response
REACT_85	69580	p53-Dependent G1/S DNA damage checkpoint
REACT_1614	69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A
REACT_2160	69610	p53-Independent DNA Damage Response
REACT_1208	69613	p53-Independent G1/S DNA damage checkpoint
REACT_2254	69615	G1/S DNA Damage Checkpoints
REACT_2137	69618	Mitotic Spindle Checkpoint
REACT_1538	69620	Cell Cycle Checkpoints
REACT_9029	69656	Cyclin A:Cdk2-associated events at S phase entry
REACT_346	69895	Transcriptional  activation of  cell cycle inhibitor p21 
REACT_212	70153	Glucose transport
REACT_1383	70171	Glycolysis
REACT_1008	70221	Glycogen breakdown (glycogenolysis)
REACT_1520	70263	Gluconeogenesis
REACT_2071	70268	Pyruvate metabolism
REACT_723	70326	Glucose metabolism
REACT_1571	70350	Fructose catabolism
REACT_532	70370	Galactose catabolism
REACT_238	70614	Amino acid synthesis and interconversion (transamination)
REACT_847	70635	Urea cycle
REACT_1002	70688	Proline catabolism
REACT_197	70895	Branched-chain amino acid catabolism
REACT_1249	70921	Histidine catabolism
REACT_993	71032	Propionyl-CoA catabolism
REACT_1298	71064	Lysine catabolism
REACT_1786	71182	Phenylalanine and tyrosine catabolism
REACT_916	71240	Tryptophan catabolism
REACT_2125	71262	Carnitine synthesis
REACT_813	71288	Creatine metabolism
REACT_13	71291	Metabolism of amino acids and derivatives
REACT_1859	71336	Pentose phosphate pathway (hexose monophosphate shunt)
REACT_34	71384	Ethanol oxidation
REACT_474	71387	Metabolism of carbohydrates
REACT_1785	71403	Citric acid cycle (TCA cycle)
REACT_1046	71406	Pyruvate metabolism and Citric Acid (TCA) cycle
REACT_21259	71737	Pyrophosphate hydrolysis
REACT_1470	72086	mRNA Capping
REACT_467	72163	mRNA Splicing - Major Pathway
REACT_1753	72165	mRNA Splicing - Minor Pathway
REACT_1735	72172	mRNA Splicing
REACT_1849	72187	mRNA 3-end processing
REACT_167	72200	mRNA Editing: C to U Conversion
REACT_1281	72202	Transport of Mature Transcript to Cytoplasm
REACT_125	72203	Processing of Capped Intron-Containing Pre-mRNA
REACT_2159	72613	Eukaryotic Translation Initiation
REACT_1979	72649	Translation initiation complex formation
REACT_1258	72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S
REACT_1797	72689	Formation of a pool of free 40S subunits
REACT_1079	72695	Formation of the ternary complex, and subsequently, the 43S complex
REACT_931	72702	Ribosomal scanning and start codon recognition
REACT_2085	72706	GTP hydrolysis and joining of the 60S ribosomal subunit
REACT_1815	72731	Recycling of eIF2:GDP
REACT_2099	72737	Cap-dependent Translation Initiation
REACT_1986	72764	Eukaryotic Translation Termination
REACT_1014	72766	Translation
REACT_1264	72771	Cap-independent Translation Initiation
REACT_655	73614	Pyrimidine salvage reactions
REACT_1023	73621	Pyrimidine catabolism
REACT_2232	73728	RNA Polymerase I Promoter Opening
REACT_953	73762	RNA Polymerase I Transcription Initiation
REACT_1913	73772	RNA Polymerase I Promoter Escape
REACT_2089	73776	RNA Polymerase II Promoter Escape
REACT_2204	73777	RNA Polymerase I Chain Elongation
REACT_1655	73779	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening
REACT_756	73780	RNA Polymerase III Chain Elongation
REACT_1776	73817	Purine ribonucleoside monophosphate biosynthesis
REACT_850	73843	5-Phosphoribose 1-diphosphate biosynthesis
REACT_522	73847	Purine metabolism
REACT_957	73848	Pyrimidine metabolism
REACT_1974	73854	RNA Polymerase I Promoter Clearance
REACT_894	73856	RNA Polymerase II Transcription Termination
REACT_1366	73857	RNA Polymerase II Transcription
REACT_1074	73863	RNA Polymerase I Transcription Termination
REACT_1309	73864	RNA Polymerase I Transcription
REACT_1104	73884	Base Excision Repair
REACT_1826	73885	Nucleotide Excision Repair
REACT_22172	73886	Chromosome Maintenance
REACT_1619	73887	Death Receptor  Signalling
REACT_1874	73888	Homologous Recombination Repair
REACT_1022	73889	Nonhomologous End-joining (NHEJ)
REACT_2054	73890	Double-Strand Break Repair
REACT_2174	73893	DNA Damage Bypass
REACT_216	73894	DNA Repair
REACT_602	73923	Lipid digestion, mobilization, and transport
REACT_626	73927	Depurination
REACT_1405	73928	Depyrimidination
REACT_804	73929	Base-Excision Repair, AP Site Formation
REACT_1357	73930	Base-free sugar-phosphate removal via the single-nucleotide replacement pathway
REACT_1893	73933	Resolution of Abasic Sites (AP sites)
REACT_257	73935	Formation of incision complex in GG-NER
REACT_1628	73937	Transcription-coupled NER (TC-NER)
REACT_476	73940	DNA Damage Recognition in GG-NER
REACT_311	73941	Dual incision reaction in GG-NER
REACT_127	73942	DNA Damage Reversal
REACT_2020	73943	Reversal of Alkylation Damage By DNA Dioxygenases
REACT_1454	73950	Homologous recombination repair of replication-dependent double-strand breaks
REACT_1587	73951	Homologous recombination repair of replication-independent double-strand breaks
REACT_63	73980	RNA Polymerase III Transcription Termination
REACT_1371	74158	RNA Polymerase III Transcription
REACT_1788	74159	Transcription
REACT_71	74160	Gene Expression
REACT_1861	74182	Ketone body metabolism
REACT_1923	74217	Purine salvage
REACT_2086	74259	Purine catabolism
REACT_570	74713	IRS activation
REACT_1661	74744	SHC activation
REACT_508	74749	Signal attenuation
REACT_1195	74751	Insulin receptor signalling cascade
REACT_498	74752	Signaling by Insulin receptor
REACT_378	74967	Repair synthesis of patch ~27-30 bases long  by DNA polymerase
REACT_1998	74969	Gap-filling DNA repair synthesis and ligation in GG-NER
REACT_407	75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
REACT_18	75064	mRNA Editing: A to I Conversion
REACT_1768	75067	Processing of Capped Intronless Pre-mRNA
REACT_1675	75071	mRNA Processing
REACT_1757	75072	mRNA Editing
REACT_1390	75094	Formation of the Editosome
REACT_1231	75102	C6 deamination of adenosine
